"1";"2";"3";"4";"5";"6";"7";"8"
"219";"Plaza María Beneyto";"Plaza María Beneyto, 1 y 2";"46008";"Valencia";;"39.476662";"-0.384781"
"219";"c/ Poeta Salvador Rueda";"c/ Poeta Salvador Rueda, 13 (Parroquia Resurección del Señor)";"46009";"Valencia";;"39.486156";"-0.388156"
"219";"c/ Almazora";"c/ Almazora, 37";"46009";"Valencia";;"39.484341";"-0.371953"
"219";"C/ Mariano Benlliure";"C/ Mariano Benlliure (Ayuntamiento)";"46131";"Bonrepos y Mirambell";;"39.517666";"-0.363569"
"219";"Plaza de Avila";"Plaza de Avila, 18";"46010";"Valencia";;"39.481384";"-0.369642"
"219";"Plaza de Zaragoza";"Plaza de Zaragoza (junto al kiosko del Ayuntamiento)";"46010";"VALENCIA";;"39.468933";"-0.360299"
"219";"c/ Arabista Ambrosio Huici";"c/ Arabista Ambrosio Huici, 26";"46013";"VALENCIA";;"39.456188";"-0.361735"
"219";"c/ Eduardo Soler y Perez";"c/ Eduardo Soler y Perez, 1 ";"46015";"VALENCIA";;"39.477554";"-0.399872"
"219";"Urbanización Montesano";"c/ Rio Xúquer (frente al nº 16 del Pozo de Santa María)";"46184";"SAN ANTONIO DE BENAGEBER (VALENCIA)";;"39.579140";"-0.511815"
"219";"c/ Terrerola";"c/ Terrerola, 8, Colinas de San Antonio";"46184";"SAN ANTONIO DE BENAGEBER (VALENCIA)";;"39.549694";"-0.495182"
"219";"c/ Cadernera";"c/ Cadernera, Colinas de San Antonio";"46184";"SAN ANTONIO DE BENAGEBER (VALENCIA)";;"39.553436";"-0.494385"
"219";"Av  Ocho de Abril";"Av Ocho de Abril, 41 ";"46184";"SAN ANTONIO DE BENAGEBER (VALENCIA)";;"39.555016";"-0.498446"
"219";"c/ Gafarda";"c/ Gafarda (esquina calle Purísima) ";"46184";"SAN ANTONIO DE BENAGEBER (VALENCIA)";;"39.560246";"-0.500840"
"219";"c/ Valencia";"c/ Valencia";"46210";"PICANYA";;"39.437981";"-0.432331"
"219";"Paseo Primavera";"Paseo Primavera (frente piscina cubierta)";"46210";"PICANYA";;"39.432076";"-0.423994"
"219";"c/ Ramón y Cajal";"c/ Ramón y Cajal (frente a viveros)";"46370";"CHIVA";;"39.470833";"-0.721693"
"219";"c/ Doctor Corachán";"c/ Doctor Corachán (frente a la EPA)";"46370";"CHIVA";;"39.474300";"-0.710879"
"219";"c/ Doctor Corachán";"c/ Doctor Corachán (frente a la EPA)";"46370";"CHIVA";;"39.474300";"-0.710879"
"219";"Avenida Jacinto Benavente";"Avenida Jacinto Benavente (esquina Dr. Fleming)";"46500";"ONTENIENTE";;"38.823456";"-0.612529"
"219";"c/ Padre Luis Colomer";"c/ Padre Luis Colomer, s/n";"46870";"ONTENIENTE";;"38.826088";"-0.609605"
"219";"Avenida de la Almaig";"Avenida de la Almaig (enfrente restaurante chino)";"46870";"ONTENIENTE";;"38.819252";"-0.601541"
"219";"c/ Tanger";"c/ Tanger";"46624";"JALANCE";;"39.191864";"-1.076570"
"219";"c/ Vereda";"c/ Vereda";"46625";"COFRENTES";;"39.229149";"-1.063514"
"219";"Plaza Raconet";"Plaza Raconet, s/n";"46711";"MIRAMAR";;"38.950897";"-0.139490"
"219";"Plaza Raconet";"Plaza Raconet, s/n";"46711";"MIRAMAR";;"38.950897";"-0.139490"
"219";"Plaza Raconet";"Plaza Raconet, s/n";"46711";"MIRAMAR";;"38.950897";"-0.139490"
"219";"Plaza Raconet";"Plaza Raconet, s/n";"46711";"MIRAMAR";;"38.950897";"-0.139490"
"219";"c/ Porche";"c/ Porche, 22";"46712";"PILES";;"38.940208";"-0.131410"
"219";"c/ Juan Carlos I";"c/ Juan Carlos I, 13";"46714";"PALMERA";;"38.941563";"-0.153629"
"219";"c/ Enric Valor";"c/ Enric Valor (PATRI)";"46717";"LA FONT D'EN CARROS";;"38.917259";"-0.172280"
"219";"Avenida de la Constitución";"Avenida de la Constitución, s/n";"46721";"POTRIES";;"38.914856";"-0.193590"
"219";"c/ Partida Alfas";"c/ Partida Alfás, s/n (junto a la Iglesia)";"46722";"BENIARJO";;"38.930882";"-0.197019"
"219";"Passeig de Bologneta";"Passeig de Bologneta";"46724";"PALMA DE GANDIA";;"38.922829";"-0.220135"
"219";"Ctra. Albaida";"Ctra. Albaida, s/n ( Centro de acogida San Francisco de Asís)";"46724";"PALMA DE GANDIA";;"38.922512";"-0.223041"
"219";"c/ de la Safor";"c/ de la Safor, s/n";"46727";"REAL DE GANDIA";;"38.947979";"-0.188350"
"219";"Ctra. Albaida";"Ctra. Albaida, s/n (Preventorio Infantil Virgen de los Desamparados)";"46727";"REAL DE GANDIA";;"38.952278";"-0.193532"
"219";"Ctra. Albaida";"Ctra. Albaida, s/n (Preventorio Infantil Virgen de los Desamparados)";"46727";"REAL DE GANDIA";;"38.952278";"-0.193532"
"219";"c/ Joan Martorell";"C/ Joan Martorell";"46729";"ADOR";;"38.920944";"-0.224349"
"219";"c/ Ravalet de la Trinitat";"C/ Ravalet de la Trinitat, 2";"46790";"XERESA";;"39.009331";"-0.220059"
"219";"Avda. Vicente Boluda";"Avda. Vicente Boluda, 2";"46830";"BENIGANÍM";;"38.940941";"-0.443590"
"219";"Avda. de L´Ortisa";"Avda. de L´Ortisa, 1";"46830";"BENIGANÍM";;"38.946369";"-0.444779"
"219";"Avda. Ronda Rodat";"Avda. Ronda Roda, 3";"46830";"BENIGANÍM";;"38.941738";"-0.446717"
"219";"Avda. Pais Valenciano";"Avda. Pais Valenciano ( cruce con c/ Poassa)";"46837";"QUATRETONDA";;"38.947384";"-0.402513"
"219";"c/ Paz";"c/ Paz, s/n";"46842";"MONTIXELVO";;"38.891537";"-0.338532"
"219";"Avda. de la Ermita";"Avda. de la Ermita";"46843";"RAFOL DE SALEM";;"38.864449";"-0.397515"
"219";"c/ Sant Pancraci";"c/ Sant Pancraci (junto parada autobuses)";"46892";"MONTAVERNER";;"38.888458";"-0.493511"
"219";"Centro Comercial Bonaire";"Centro Comercial Bonaire ( junto hipermercado Alcampo)";"46960";"ALDAIA";;"39.471027";"-0.491001"
"219";"c/ Maria Rafols";"c/ Maria Rafols";"46680";"ALGEMESI";;"39.194298";"-0.429564"
"219";"Ctra. de Alzira";"Ctra. de Alzira, s/n";"46680";"ALGEMESI";;"39.189941";"-0.441752"
"219";"Plaza Alonso Rincona";"Plaza Alonso Rincona";"46780";"OLIVA";;"38.921070";"-0.122612"
"219";"c/ Bellreguard";"c/ Bellreguard (cruce con Mar Mediterraneo)";"46780";"OLIVA";;"38.928600";"-0.094224"
"219";"Passeig Joan Fuster";"Passeig Joan Fuster (Mercado Municipal)";"46780";"OLIVA";;"38.925648";"-0.123514"
"219";"Passeig Joan Fuster";"Passeig Joan Fuster , 3";"46780";"OLIVA";;"38.924526";"-0.122398"
"219";"Via de Ronda";"Via de Ronda (cruce con Almirante Roger de Lau)";"46780";"OLIVA";;"38.925453";"-0.091916"
"219";"c/ Clara Campoamor";"c/ Clara Campoamor (junto Plaza Libertat)";"46850";"L'OLLERIA";;"38.915604";"-0.553438"
"219";"Plaza San Felipe";"Plaza San Felipe, s/n (Colegio Público Sanchis Guarner) ";"46850";"L'OLLERIA";;"39.915447";"-0.545241"
"219";"C/ Isabel la Católica, s/n";"C/ Isabel la Católica, s/n (Colegio Público Isabel la Católica)";"46850";"L'Olleria";;"38.914810";"-0.556024"
"219";"Avenida Diputación de Alicante";"Avenida Diputación de Alicante (frente nº 59)";"46850";"L'OLLERIA";;"38.911407";"-0.551078"
"219";"c/ La Coruña";"c/ La Coruña, 14";"46900";"Torrent";;"39.427078";"-0.485869"
"219";"c/ Valencia";"c/ Valencia, 40";"46900";"Torrent";;"39.440765";"-0.465377"
"219";"Avda. San Lorenzo";"Avda. San Lorenzo (junto ambulatorio)";"46900";"Torrent";;"39.426754";"-0.486629"
"219";"c/ San Juan Bautista";"c/ San Juan Bautista, s/n (Ecoparque)";"46900";"Torrent";;"39.428753";"-0.465528"
"219";"Toll de l'alberca";"Toll de l'alberca, s/n (Decathlon)";"46900";"Torrent";;"39.418839";"-0.506628"
"219";"c/ Melissa";"c/ Melissa (Polideportivo)";"46980";"Paterna";;"39.516273";"-0.436195"
"219";"Avda. Vicente Mortes Alonso";"Avda. Vicente Mortes Alonso (gasolinera BP)";"46980";"Paterna";;"39.510067";"-0.452159"
"219";"Carrer de les Roses";"Carrer de les Roses, 9";"46980";"Paterna";;"39.509373";"-0.449735"
"219";"Carrer Santes Justa i Rufina";"Carrer Santes Justa i Rufina ( junto Colegio)";"46980";"Paterna";;"39.506920";"-0.453554"
"219";"c/ Maestro Ramón Ramia Querol";"c/ Maestro Ramón Ramia Querol";"46980";"Paterna";;"39.503063";"-0.438448"
"219";"c/ Ginesta";"c/ Ginesta, 4";"46980";"Paterna";;"39.512238";"-0.432118"
"219";"c/ Orenga";"c/ Orenga (en el parking)";"46980";"Paterna";;"39.518261";"-0.434285"
"219";"Avda. de la Mar";"Avda. de la Mar, 60";"46701";"Gandia";;"38.978680";"-0.171515"
"219";"Plaza Parque de la Estación";"Plaza Parque de la Estación (Renfe) ";"46701";"Gandia";;"38.970036";"-0.179840"
"219";"c/ Peru";"c/ Peru, 18";"46701";"Gandia";;"38.974274";"-0.180505"
"219";"Avda. del Grao";"Avda, del Grao, s/n ( Centro Transeuntes)";"46701";"Gandia";;"38.979229";"-0.168407"
"219";"c/ Sants de la Pedra";"c/ Sants de la Pedra, 19";"46702";"Gandia";;"38.961697";"-0.188101"
"219";"c/ Real de Gandia";"c/ Real de Gandia, 18";"46702";"Gandia";;"38.959492";"-0.186234"
"219";"Avda. del Raval";"Avda. del Raval, 43";"46702";"Gandia";;"38.961880";"-0.182801"
"219";"c/ Legazpi";"c/ Legazpi ( Parroquia Santa María del Mar )";"46730";"Gandia";;"39.004478";"-0.165056"
"219";"Passeig Rosa dels Vents";"Passeig Rosa dels Vents (Patri)";"46730";"Gandia";;"38.998959";"-0.164176"
"219";"Passeig Rosa dels Vents";"Passeig Rosa dels Vents (Patri)";"46730";"Gandia";;"38.998959";"-0.164176"
"219";"C/ Salida Port de Valencia";"c/ Salida Port de Valencia";"46181";"Benissano";;"39.611820";"-0.573872"
"219";"c/ Alcalde Urbino Blay Mañez";"c/ Alcalde Urbino Blay Mañez, 67";"46370";"Chiva";;"39.469475";"-0.710805"
"219";"Plaza Jardinet";"Plaza Jardinet (junto Bar Piña)";"46701";"Gandia";;"38.973255";"-0.176854"
"219";"c/ Assagador, s/n";"c/ Assagador, s/n";"46710";"Daimuz";;"38.972515";"-0.148735"
"219";"Passeig Maritim Neptu";"Passeig Maritim Neptu, 2 (Club Naútico)";"46730";"Gandia";;"38.997929";"-0.157516"
"219";"c/ Caballero Merita";"c/ Caballero Merita, 5";"3801";"Alcoi";;"38.689899";"-0.476830"
"219";"Avda. d'Elx";"Avda. d'Elx, s/n (Ecoparque)";"3801";"Alcoy";;"38.687641";"-0.476330"
"219";"Avda. Andalucia";"Avda. Andalucia, 12";"3804";"Alcoy";;"38.705410";"-0.467802"
"219";"Carrer Font de la Edra";"Carrer Font de la Edra";"3820";"Cocentaina";;"38.741810";"-0.434501"
"219";"c/Justo San Salvador";"c/ Justo San Salvador (junto Colegio Público San Juan Bosco) ";"3820";"Cocentaina";;"38.743122";"-0.438165"
"219";"Urbanización El Bosque";"Urbanización El Bosque (Punto verde)";"46370";"Chiva";;"39.444885";"-0.616773"
"219";"C/ Vicente Blasco García, 12";"C/ Vicente Blasco García, 12 (Centro Social de Día Archines)";"46014";"Valencia";;"39.472301";"-0.409912"
"219";"C/ San Lázaro, s/n";"C/ San Lázaro, s/n Parroquia Santa Teresa de Jesús";"46017";"Valencia";"Hospital Peset";"39.453327";"-0.393547"
"219";"Plaza Roma";"Plaza Roma, esquina C/ Burgos";"46018";"Valencia";;"39.471436";"-0.398983"
"219";"Plaza San Felipe Neri";"Plaza San Felipe Neri, (Mercado de Algirós)";"46021";"Valencia";;"39.469715";"-0.354033"
"219";"Avenida Hugo Bacharach";"Avenida Hugo Bacharach (Plaza del Rei Jaume I)";"46134";"Foios";;"39.535980";"-0.352077"
"219";"C/ De los Mártires";"C/ De los Mártires (Barrio Delme)";"46134";"Foios";;"39.536903";"-0.358873"
"219";"C/ del Cid";"C/ del Cid (detrás del Llar de la Música)";"46134";"Foios";;"39.539864";"-0.350242"
"219";"C/ San Vicente";"C/ San Vicente (Farmacia)";"46131";"Bonrepos y Mirambell";;"39.517754";"-0.365522"
"219";"C/ Cristo de las Animas";"C/ Cristo de las Animas (frente nº 23)";"46135";"Albalat dels Sorells";;"39.545803";"-0.345344"
"219";"C/ Jaime I";"C/ Jaime I (esquina C/ Juan Carlos I)";"46135";"Albalat dels Sorells";;"39.539623";"-0.346749"
"219";"C/ Enguera";"C/ Enguera (junto rotonda)";"46620";"Ayora";;"39.056545";"-1.056545"
"219";"Plaza Valle de Ayora";"Plaza Valle de Ayora (junto escuelas)";"46620";"Ayora";;"39.060898";"-1.060702"
"219";"C/ Coronel Murcia";"C/ Coronel Murcia (esquina carretera Albacete)";"46620";"Ayora";;"39.063808";"-1.055517"
"219";"Piscina Municipal";"C/ Extramuros, 6B";"46622";"Teresa de Cofrentes";;"39.102272";"-1.052944"
"219";"C/ Blasco Ibañez";"C/ Blasco Ibañez (junto Mercado)";"46623";"Jarafuel";;"39.141090";"-1.073683"
"219";"Avenida Cuartel";"Avenida Cuartel, 8";"46770";"Xeraco";;"39.046112";"-0.195086"
"219";"C/ Pintor Sorolla";"C/ Pintor Sorolla (esquina carretera Quatretonda)";"46830";"Beniganim";;"38.944443";"-0.440545"
"219";"C/ Miraflores";"C/ Miraflores";"46850";"L'Olleria";;"38.915096";"-0.548453"
"219";"Avenida Jacinto Benavente";"Avenida Jacinto Benavente (esquina Dr. Fleming)";"46870";"ONTENIENTE";;"38.823421";"-0.612545"
"219";"C/ Pintor Josep Segrelles";"C/ Pintor Josep Segrelles";"46870";"ONTENIENTE";;"38.821056";"-0.602015"
"219";"C/ Literato Fray Luis Galiana";"C/ Literato Fray Luis Galiana";"46870";"ONTENIENTE";;"38.822014";"-0.606243"
"219";"Plaza Poeta Ausias Mach";"Plaza Poeta Ausias March";"46870";"ONTENIENTE";;"38.824535";"-0.598515"
"219";"Urbanización La Cañada";"Urbanización La Cañada, C/ San Vicente Ferrer, 10";"46980";"Paterna";;"39.527603";"-0.488154"
